,C1,C3,C5,C9,C10,C11,C12,C14,C15,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,P1,P2,P3,P5,P9,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65
s_Austwickia_chelonae,0,0,0,0,0,224,0,0,0,0,0,0,6,53,0,0,116,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,54,11,9,0,0,20,0,660,447,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1775,0,2,1,0,0,33,48,0,23,42,67,35,166,0,0,0,72,40,42,0,27,5,63,188,0,0,57,54,726,190,15,0,292
s_Streptococcus_entericus,6,0,10,1,4,257,0,0,10,24,428,19,0,161,90,0,255,12,0,1,0,3,0,0,323,1,3,1,203,3,0,138,66,2,0,1,160,315,0,2,19,0,1,0,0,43,0,0,0,0,0,0,0,397,43,16,1825,1124,52,500,1506,432,0,0,0,898,0,0,0,0,0,0,0,0,0,0,1532,3254,598,1070,4,1,2361,6136,4275,39,11,81,5,178,8,0,32,83,89,15,50,154,32,85,15,4,359,123,89,410,32,32,17,58,280,992,434,166,177,1132,516,148,243,813
s_Vibrio_metschnikovii,115,2766,86,92,81,4446,62,27,81,87,26906,41,41,20810,832,13,2333,635,53,6,19,25,53,34,20265,3218,20,31,6528,75,1901,2690,3114,36,42,33,5161,19344,0,66,2265,0,3923,0,0,2708,0,0,0,0,0,0,0,21355,2874,758,28283,16093,1790,17553,57190,13607,3,0,10,48906,0,0,0,0,1,0,0,0,0,6,24202,35936,30200,31481,23695,8760,30551,34625,17625,1526,15691,4180,17722,4055,8363,1594,2108,2684,4618,2287,2580,7529,8579,10866,24685,11416,11592,6444,4887,12320,2230,2600,568,3917,13419,6163,9484,14016,10854,34118,17328,6372,12902,34651
s_Paracoccus_aestuarii,0,1,9,9,0,199,0,2,0,1,254,0,4,742,49,1,45,12,0,0,0,4,3,0,552,49,1,0,151,2,92,172,19,0,0,0,1,376,0,0,39,0,63,0,0,151,0,0,0,0,0,0,0,825,159,45,745,6,218,303,2809,1282,0,0,0,3272,0,0,0,0,0,0,0,0,0,0,8,3383,3502,5,4,431,2,728,6,54,2970,248,2,117,2,0,88,76,552,65,148,343,367,582,896,3,1334,305,154,462,93,78,21,116,504,365,4,595,761,2366,998,500,101,1836
s_Terrisporobacter_glycolicus,0,133,0,2,1,0,1,1,143,2,213,2,15,196,0,1,0,0,2326,6,4,7,8,5457,2,5719,72,32,92,14,0,0,0,13,17,3,0,0,9,1,0,1,0,2,0,0,2486,2,1,0,0,0,0,0,0,7,0,0,0,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,2,4,21,8,7,2,4,8,4,0,2957,1,10,1,0,0,0,26,0,0,0,6,125,0,0,11,0,58,0,0,16,4,0,0,0,1,1,0,0,0,0,0,0,0
s_Vibrio_azureus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,149,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,145,10,20,0,0,14,0,296,64,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,12,0,0,0,0,0,0,14,0,51,0,0,39,79,0,0,0,0,20,28,93,0,17,9,56,105,0,0,72,85,190,212,84,0,235
s_Salinivibrio_sharmensis,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,68,152,0,2,20,0,131,0,1,0,0,0,1,95,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,191,5,6,0,1,0,3,333,163,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,552,2,0,0,0,0,0,19,0,33,2,0,233,0,0,8,4,21,9,19,0,41,2,0,0,75,14,76,8,26,1,2,47,1,335,68,14,34,0,10,0,189
s_Comamonas_odontotermitis,0,0,6,0,0,0,0,2,1,5,223,0,0,0,0,0,53,18,0,0,3,0,4,0,19,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,237,0,7,1,1271,23,479,537,171,0,0,0,190,0,0,0,0,0,0,0,0,0,0,5,2254,22,1,0,513,1212,2838,2,0,4,0,0,128,469,0,10,0,0,27,29,0,0,0,1678,0,34,0,12,0,20,0,1,0,105,0,156,0,84,269,0,69,388,212
s_Staphylococcus_capitis,4,0,11,689,0,0,1,666,3,4,252,1,61,0,563,12,0,4,4170,6,1,8,2,330,0,0,19,13,0,4,0,158,14,7,4250,12,122,0,2506,4,0,1,129,278,2,0,2,0,1,3,1,7,4,0,1,4,0,0,0,9,0,0,5,4,3,0,2,0,0,2,5,0,1,0,2,0,0,4,5,0,6,4,0,0,0,1,0,0,12,0,148,0,0,627,0,1,2,1,303,0,0,1,0,14,0,2,0,11,0,23,2,3,0,4,21,143,0,0,4,52
s_Propionibacterium_acnes,951,402,432,316,13,31,591,1655,50,4420,2700,184,626,5138,2308,3426,1,44,3757,15378,76,3391,14,458,7,16,588,38,59,28572,76,254,19,876,15206,16666,386,507,8248,2204,21,19,106,651,11,85,6,1030,277,8,33,2093,13057,98,15,76,3178,770,47,28,0,179,41,4231,17,400,267,4809,163,7,2912,4264,43,3224,2181,102,87,118,1074,248,2243,72,388,11,578,20,2,207,11,170,423,21,28,31,38,95,24,236,249,63,1375,2,291,124,140,74,77,10,2,64,166,300,996,74,152,907,385,42,245,475
s_Lactobacillus_heilongjiangensis,11,0,16,15,15,0,6,14,4,31,0,36,43,0,0,27,0,9,34,36,35,42,31,44,0,0,33,32,0,35,0,0,0,35,42,32,0,0,30,108,0,15,0,11,15,0,19,20,13,21,10,21,13,0,0,39,51,35,0,39,0,0,6,15,19,48,12,16,6,13,7,2,2,4,3,2,13,14,3,14,7,5,5,29,29,0,37,29,35,50,55,0,1,0,0,0,0,0,0,0,51,58,45,0,0,0,0,0,0,0,0,39,41,0,0,0,0,0,44,0
